Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types
ELEC,CHARGEPOINT-JNS,220 W Huron St,,Chicago,IL,60654,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.8949011,-87.6351207,2014-09-16,63129,2014-09-16 07:30:32 UTC,,,,,,,,,J1772
ELEC,Walsh Construction,925 W Jackson Blvd,,Chicago,IL,60607,,,E,,Private,Employee use only,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.87757111,-87.65041351,2013-11-30,44878,2014-04-21 18:25:30 UTC,P,,,2012-03-15,,,,,J1772
ELEC,640 N. LASALLE,640 N La Salle Dr,,Chicago,IL,60654,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.8936163,-87.6326862,2014-09-16,50472,2014-09-16 08:01:09 UTC,,,,,,,,,J1772
ELEC,CHARGEPOINT-JNS,3222 N Milwaukee Ave,,Chicago,IL,60618,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.9396055,-87.7252241,2014-09-16,40795,2014-09-16 07:30:29 UTC,,,,,,,,,J1772
CNG,Clean Energy - Chicago Clybourn,3164 N Clybourn Ave,,Chicago,IL,60618,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; Call 866-809-4869 for Clean Energy card,CleanEnergy D M V Voyager Wright_Exp,,,3600,,,,,,,200-8,41.93882199999999,-87.6871898,2014-04-04,60955,2014-04-04 18:55:13 UTC,P,,,2014-03-30,,MD,,,
ELEC,PERILLO BMW,1035 N Clark St,,Chicago,IL,60610,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.9012134,-87.6311337,2014-09-16,58335,2014-09-16 08:05:40 UTC,,,,,,,,,J1772
ELEC,INTERPARK,20 E Randolph St,,Chicago,IL,60601,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8846529,-87.6271015,2014-09-16,36615,2014-09-16 07:45:50 UTC,,,,,,,,,NEMA520 J1772
ELEC,ComEd,7601 S Lawndale Ave,,Chicago,IL,60652,,,E,,Private,,,,,,,8,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.75497055,-87.71321,2013-11-30,38851,2014-04-21 18:23:17 UTC,T,,,2010-12-31,,,,,J1772
CNG,Clean Energy - GrandSlam Marathon,3145 N Western Ave,,Chicago,IL,60618,,562-493-2804  773-935-7200,E,,Public - Credit card at all times,24 hours daily,M V CleanEnergy,,Q,3600,,,,,,,200-8,41.9389352,-87.6871654,2013-07-31,39186,2014-01-20 18:25:42 UTC,P,,,2011-05-15,,MD,,,
CNG,City of Chicago FS#3,4233 W Ferdinand,Ferdinand and Tripp,Chicago,IL,60624,,,E,,Private - Government only,,,,Q,3600,,,,,,,200-8,41.8893383,-87.7303848,2013-10-31,33143,2014-01-20 18:52:04 UTC,LG,,,2008-07-15,,HD,,,
ELEC,INTERPARK,30 W Monroe St,,Chicago,IL,60603,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.880724,-87.6291006,2014-09-16,50471,2014-09-16 08:00:59 UTC,,,,,,,,,J1772
ELEC,INTERPARK,230 W Washington St,,Chicago,IL,60606,,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8833481,-87.6352146,2014-09-16,36614,2014-09-16 07:59:51 UTC,,,,,,,,,J1772
CNG,City of Chicago FS#5,4833 W Sunnyside,Sunnyside and Lamon,Chicago,IL,60630,,,E,,Private - Government only,,,,Q,3600,,,,,,,200-8,41.9625136,-87.7490375,2013-10-31,33142,2014-01-20 18:52:02 UTC,LG,,,2008-07-15,,HD,,,
ELEC,CHARGEPOINT-JNS,30 S Wacker Dr,,Chicago,IL,60606,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.8808746,-87.6373138,2014-09-16,63152,2014-09-16 07:55:12 UTC,,,,,,,,,J1772
LPG,U-Haul,1700 N Cicero Ave,Between North and Grand,Chicago,IL,60639,,773-889-8194,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",Cash A D M V,,,,,,,,,,200-8,41.911962,-87.74629,2013-10-31,19924,2014-03-05 14:17:10 UTC,P,,,,,,true,,
ELEC,CHARGEPOINT-JNS,2001 N. Milwaukee Ave.,,Chicago,IL,60647,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.9178352,-87.6884559,2014-09-16,40799,2014-09-16 07:30:31 UTC,,,,,,,,,J1772
ELEC,900 N MICHIGAN,900 N Michigan Ave,,Chicago,IL,60611,,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8995404,-87.6244712,2014-09-16,38852,2014-09-16 08:04:50 UTC,,,,,,,,,J1772
ELEC,NAVY PIER,600 E Grand Ave,,Chicago,IL,60611,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.8919806,-87.6095976,2014-09-16,51973,2014-09-16 08:02:14 UTC,,,,,,,,,J1772
ELEC,CHARGEPOINT-JNS,750 N Rush St,,Chicago,IL,60611,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8964652,-87.6257582,2014-09-16,41464,2014-09-16 07:30:23 UTC,,,,,,,,,J1772
ELEC,CHARGEPOINT-JNS,4385 S Archer Ave,,Chicago,IL,60632,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8133902,-87.7048553,2014-09-16,63133,2014-09-16 07:30:44 UTC,,,,,,,,,J1772
E85,City of Chicago FS#8,10420 S Vincennes,104th and Vincennes,Chicago,IL,60643,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.7041125,-87.6570265,2013-10-31,36321,2014-01-20 18:51:44 UTC,LG,,,2011-10-15,,,,false,
CNG,Peoples Gas,1136 N Elston Ave,,Chicago,IL,60642,,800-920-1166,E,,Public - Credit card at all times,"24 hours daily; must have fueling agreement with station, call 800-920-1166 for arrangements",A M V,,Q,3000 3600,,,,,,,200-8,41.9025057,-87.6574951,2013-10-31,53314,2014-01-20 19:17:36 UTC,T,,,2012-08-01,,HD,,,
ELEC,CHARGEPOINT-JNS,260 E Chestnut St,,Chicago,IL,60611,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.8988266,-87.6195984,2014-09-16,63151,2014-09-16 07:52:55 UTC,,,,,,,,,J1772
ELEC,HUBBARD CHARGE,360 W Hubbard St,,Chicago,IL,60654,,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8902901,-87.6384679,2014-09-16,60531,2014-09-16 08:05:26 UTC,,,,,,,,,J1772
ELEC,INTERPARK,217 W Washington St,,Chicago,IL,60606,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.883183700000004,-87.6341998,2014-09-16,56790,2014-09-16 07:45:46 UTC,,,,,,,,,NEMA520 J1772
ELEC,CHARGEPOINT-JNS,915 S Paulina St,,Chicago,IL,60612,,888-758-4389,E,,Public,24 hours daily,,,,,,3,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8698402,-87.6684921,2014-09-16,63147,2014-09-16 07:30:37 UTC,,,,,,,,,J1772
CNG,City of Chicago FS#4,3746 S Iron,Iron and 37th,Chicago,IL,60609,,,E,,Private - Government only,,,,Q,3600,,,,,,,200-8,41.8257961,-87.6593768,2013-10-31,33146,2014-01-20 18:52:05 UTC,LG,,,2008-10-15,,HD,,,
ELEC,Zipcar - N Wells Parking Garage,210 N Wells St,"North of W Lake Street, located on 2nd level parking garage near elevators",Chicago,IL,60606,,,E,,Private,24 hours daily; pay lot; Zipcar use only,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.88609,-87.6339,2013-11-30,42160,2014-04-21 18:24:23 UTC,P,,,2011-10-21,,,,,J1772
E85,City of Chicago FS#1,1701 N Throop,Throop and Wabansia,Chicago,IL,60642,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.9138945,-87.6618725,2013-10-31,35084,2014-01-20 18:51:43 UTC,LG,,,2009-06-15,,,,false,
ELEC,CHARGEPOINT-JNS,321 E Erie St,,Chicago,IL,60611,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8941961,-87.6197537,2014-09-16,43155,2014-09-16 07:30:40 UTC,,,,,,,,,J1772
ELEC,CHARGEPOINT-JNS,1350 N Lake Shore Dr,,Chicago,IL,60610,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.9070322,-87.6265173,2014-09-16,41462,2014-09-16 07:30:33 UTC,,,,,,,,,J1772
E85,City of Chicago FS#202,5150 W 63rd St,63rd and Laramie,Chicago,IL,60638,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.7782789,-87.7505244,2013-10-31,36319,2014-01-20 18:46:29 UTC,LG,,,2011-11-10,,,,false,
ELEC,SOLDIER FIELD,448-462 E McFetridge Dr,,Chicago,IL,60605,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.864151,-87.6165848,2014-09-16,41001,2014-09-16 07:50:42 UTC,,,,,,,,,NEMA520 J1772
ELEC,"Testa Produce, Inc",4555 South Racine Ave,,Chicago,IL,60609,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2,,,Blink Network,http://www.blinknetwork.com/,GPS,41.810473,-87.654082,2014-09-15,52051,2014-09-15 07:10:48 UTC,,,,,,,,,J1772
CNG,Peoples Gas,1250 S Kilborne,,Chicago,IL,60623,,,E,,Private,,,,B,3000,,,,,,,200-8,41.8636399,-87.7373563,2013-12-31,30367,2014-01-20 19:18:46 UTC,T,,,1984-11-15,,MD,,,
ELEC,INTERPARK,614 N St Clair St,,Chicago,IL,60611,,888-758-4389,E,,Public,24 hours daily,,,,,,4,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8930491,-87.6229535,2014-09-16,50667,2014-09-16 08:01:08 UTC,,,,,,,,,J1772
ELEC,CHARGEPOINT-JNS,1340 E 79th St,,Chicago,IL,60619,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.7520296,-87.5902632,2014-09-16,63130,2014-09-16 07:30:32 UTC,,,,,,,,,J1772
E85,City of Chicago FS#2,6445 N Ravenswood,Devon and Ravenswood,Chicago,IL,60626,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.9992536,-87.675024,2013-10-31,36318,2014-01-20 18:51:44 UTC,LG,,,2011-11-15,,,,false,
